File_Name,Actor,Gender,Emotion,Intensity,Statement,Repetition
03-01-01-01-01-01-01.wav,1,M,neutral,normal,1,1
03-01-01-01-01-02-01.wav,1,M,neutral,normal,1,2
03-01-01-01-02-01-01.wav,1,M,neutral,normal,2,1
03-01-01-01-02-02-01.wav,1,M,neutral,normal,2,2
03-01-02-01-01-01-01.wav,1,M,calm,normal,1,1
03-01-02-01-01-02-01.wav,1,M,calm,normal,1,2
03-01-02-01-02-01-01.wav,1,M,calm,normal,2,1
03-01-02-01-02-02-01.wav,1,M,calm,normal,2,2
03-01-02-02-01-01-01.wav,1,M,calm,strong,1,1
03-01-02-02-01-02-01.wav,1,M,calm,strong,1,2
03-01-02-02-02-01-01.wav,1,M,calm,strong,2,1
03-01-02-02-02-02-01.wav,1,M,calm,strong,2,2
03-01-03-01-01-01-01.wav,1,M,happy,normal,1,1
03-01-03-01-01-02-01.wav,1,M,happy,normal,1,2
03-01-03-01-02-01-01.wav,1,M,happy,normal,2,1
03-01-03-01-02-02-01.wav,1,M,happy,normal,2,2
03-01-03-02-01-01-01.wav,1,M,happy,strong,1,1
03-01-03-02-01-02-01.wav,1,M,happy,strong,1,2
03-01-03-02-02-01-01.wav,1,M,happy,strong,2,1
03-01-03-02-02-02-01.wav,1,M,happy,strong,2,2
03-01-04-01-01-01-01.wav,1,M,sad,normal,1,1
03-01-04-01-01-02-01.wav,1,M,sad,normal,1,2
03-01-04-01-02-01-01.wav,1,M,sad,normal,2,1
03-01-04-01-02-02-01.wav,1,M,sad,normal,2,2
03-01-04-02-01-01-01.wav,1,M,sad,strong,1,1
03-01-04-02-01-02-01.wav,1,M,sad,strong,1,2
03-01-04-02-02-01-01.wav,1,M,sad,strong,2,1
03-01-04-02-02-02-01.wav,1,M,sad,strong,2,2
03-01-05-01-01-01-01.wav,1,M,angry,normal,1,1
03-01-05-01-01-02-01.wav,1,M,angry,normal,1,2
03-01-05-01-02-01-01.wav,1,M,angry,normal,2,1
03-01-05-01-02-02-01.wav,1,M,angry,normal,2,2
03-01-05-02-01-01-01.wav,1,M,angry,strong,1,1
03-01-05-02-01-02-01.wav,1,M,angry,strong,1,2
03-01-05-02-02-01-01.wav,1,M,angry,strong,2,1
03-01-05-02-02-02-01.wav,1,M,angry,strong,2,2
03-01-06-01-01-01-01.wav,1,M,fearful,normal,1,1
03-01-06-01-01-02-01.wav,1,M,fearful,normal,1,2
03-01-06-01-02-01-01.wav,1,M,fearful,normal,2,1
03-01-06-01-02-02-01.wav,1,M,fearful,normal,2,2
03-01-06-02-01-01-01.wav,1,M,fearful,strong,1,1
03-01-06-02-01-02-01.wav,1,M,fearful,strong,1,2
03-01-06-02-02-01-01.wav,1,M,fearful,strong,2,1
03-01-06-02-02-02-01.wav,1,M,fearful,strong,2,2
03-01-07-01-01-01-01.wav,1,M,disgust,normal,1,1
03-01-07-01-01-02-01.wav,1,M,disgust,normal,1,2
03-01-07-01-02-01-01.wav,1,M,disgust,normal,2,1
03-01-07-01-02-02-01.wav,1,M,disgust,normal,2,2
03-01-07-02-01-01-01.wav,1,M,disgust,strong,1,1
03-01-07-02-01-02-01.wav,1,M,disgust,strong,1,2
03-01-07-02-02-01-01.wav,1,M,disgust,strong,2,1
03-01-07-02-02-02-01.wav,1,M,disgust,strong,2,2
03-01-08-01-01-01-01.wav,1,M,surprised,normal,1,1
03-01-08-01-01-02-01.wav,1,M,surprised,normal,1,2
03-01-08-01-02-01-01.wav,1,M,surprised,normal,2,1
03-01-08-01-02-02-01.wav,1,M,surprised,normal,2,2
03-01-08-02-01-01-01.wav,1,M,surprised,strong,1,1
03-01-08-02-01-02-01.wav,1,M,surprised,strong,1,2
03-01-08-02-02-01-01.wav,1,M,surprised,strong,2,1
03-01-08-02-02-02-01.wav,1,M,surprised,strong,2,2
03-01-01-01-01-01-02.wav,2,F,neutral,normal,1,1
03-01-01-01-01-02-02.wav,2,F,neutral,normal,1,2
03-01-01-01-02-01-02.wav,2,F,neutral,normal,2,1
03-01-01-01-02-02-02.wav,2,F,neutral,normal,2,2
03-01-02-01-01-01-02.wav,2,F,calm,normal,1,1
03-01-02-01-01-02-02.wav,2,F,calm,normal,1,2
03-01-02-01-02-01-02.wav,2,F,calm,normal,2,1
03-01-02-01-02-02-02.wav,2,F,calm,normal,2,2
03-01-02-02-01-01-02.wav,2,F,calm,strong,1,1
03-01-02-02-01-02-02.wav,2,F,calm,strong,1,2
03-01-02-02-02-01-02.wav,2,F,calm,strong,2,1
03-01-02-02-02-02-02.wav,2,F,calm,strong,2,2
03-01-03-01-01-01-02.wav,2,F,happy,normal,1,1
03-01-03-01-01-02-02.wav,2,F,happy,normal,1,2
03-01-03-01-02-01-02.wav,2,F,happy,normal,2,1
03-01-03-01-02-02-02.wav,2,F,happy,normal,2,2
03-01-03-02-01-01-02.wav,2,F,happy,strong,1,1
03-01-03-02-01-02-02.wav,2,F,happy,strong,1,2
03-01-03-02-02-01-02.wav,2,F,happy,strong,2,1
03-01-03-02-02-02-02.wav,2,F,happy,strong,2,2
03-01-04-01-01-01-02.wav,2,F,sad,normal,1,1
03-01-04-01-01-02-02.wav,2,F,sad,normal,1,2
03-01-04-01-02-01-02.wav,2,F,sad,normal,2,1
03-01-04-01-02-02-02.wav,2,F,sad,normal,2,2
03-01-04-02-01-01-02.wav,2,F,sad,strong,1,1
03-01-04-02-01-02-02.wav,2,F,sad,strong,1,2
03-01-04-02-02-01-02.wav,2,F,sad,strong,2,1
03-01-04-02-02-02-02.wav,2,F,sad,strong,2,2
03-01-05-01-01-01-02.wav,2,F,angry,normal,1,1
03-01-05-01-01-02-02.wav,2,F,angry,normal,1,2
03-01-05-01-02-01-02.wav,2,F,angry,normal,2,1
03-01-05-01-02-02-02.wav,2,F,angry,normal,2,2
03-01-05-02-01-01-02.wav,2,F,angry,strong,1,1
03-01-05-02-01-02-02.wav,2,F,angry,strong,1,2
03-01-05-02-02-01-02.wav,2,F,angry,strong,2,1
03-01-05-02-02-02-02.wav,2,F,angry,strong,2,2
03-01-06-01-01-01-02.wav,2,F,fearful,normal,1,1
03-01-06-01-01-02-02.wav,2,F,fearful,normal,1,2
03-01-06-01-02-01-02.wav,2,F,fearful,normal,2,1
03-01-06-01-02-02-02.wav,2,F,fearful,normal,2,2
03-01-06-02-01-01-02.wav,2,F,fearful,strong,1,1
03-01-06-02-01-02-02.wav,2,F,fearful,strong,1,2
03-01-06-02-02-01-02.wav,2,F,fearful,strong,2,1
03-01-06-02-02-02-02.wav,2,F,fearful,strong,2,2
03-01-07-01-01-01-02.wav,2,F,disgust,normal,1,1
03-01-07-01-01-02-02.wav,2,F,disgust,normal,1,2
03-01-07-01-02-01-02.wav,2,F,disgust,normal,2,1
03-01-07-01-02-02-02.wav,2,F,disgust,normal,2,2
03-01-07-02-01-01-02.wav,2,F,disgust,strong,1,1
03-01-07-02-01-02-02.wav,2,F,disgust,strong,1,2
03-01-07-02-02-01-02.wav,2,F,disgust,strong,2,1
03-01-07-02-02-02-02.wav,2,F,disgust,strong,2,2
03-01-08-01-01-01-02.wav,2,F,surprised,normal,1,1
03-01-08-01-01-02-02.wav,2,F,surprised,normal,1,2
03-01-08-01-02-01-02.wav,2,F,surprised,normal,2,1
03-01-08-01-02-02-02.wav,2,F,surprised,normal,2,2
03-01-08-02-01-01-02.wav,2,F,surprised,strong,1,1
03-01-08-02-01-02-02.wav,2,F,surprised,strong,1,2
03-01-08-02-02-01-02.wav,2,F,surprised,strong,2,1
03-01-08-02-02-02-02.wav,2,F,surprised,strong,2,2
03-01-01-01-01-01-03.wav,3,M,neutral,normal,1,1
03-01-01-01-01-02-03.wav,3,M,neutral,normal,1,2
